,stop_id1,stop_id2,distance,latitude1,longitude1,latitude2,longitude2
767,8591351,8589106,18.944477643749206,47.364773,8.502698,47.385178,8.6723175
768,8591351,8591289,5.561142872823047,47.364773,8.502698,47.416702,8.538208
769,8591353,8591438,9.48150974424722,47.39973,8.504621,47.35918,8.585244
770,8591357,8573213P,8.755438750282451,47.338913,8.5381365,47.44478,8.570691
771,8591358,8576127:0:E,18.960738859446224,47.407444,8.489968,47.383984,8.659553
772,8591361,8590604,16.625122214683373,47.391922,8.483726,47.374966,8.63263
773,8591362,8591171,0.3365656652607636,47.385914,8.548368,47.386795,8.551332
774,8591364,8591046,7.8308779025591635,47.363228,8.557621,47.424984,8.501027
775,8591364,8591355,4.388550620803038,47.363228,8.557621,47.419865,8.548368
776,8591365,8595717,3.506663833238718,47.35797,8.522264,47.31295,8.530051
777,8591367,8591406,1.919724234401311,47.376095,8.534202,47.39616,8.544828
778,8591372,8503000:0:8,5.801812237257666,47.387726,8.488496,47.378178,8.540212
779,8591373,8503087:0:2,3.0682408018290404,47.382843,8.543688,47.357796,8.521967
780,8591373,8573716,8.917299168565307,47.382843,8.543688,47.298775,8.487417
781,8591374,8503006P,4.517149194644907,47.391624,8.50586,47.41153,8.544137
782,8591374,8503099,7.005869828380141,47.391624,8.50586,47.30329,8.525165
783,8591374,8591276,4.02494500729035,47.391624,8.50586,47.39779,8.541775
784,8591375,8579994,8.96930427929994,47.367493,8.552258,47.33501,8.474751
785,8591375,8590743,5.489597597519689,47.367493,8.552258,47.434498,8.571689
786,8591377,8583613,10.89522792102832,47.386253,8.556202,47.36274,8.459633
787,8591377,8591384,2.6965609454691175,47.386253,8.556202,47.36787,8.535423
788,8591378,8503010:0,2.490972096783707,47.33504,8.54147,47.364098,8.530824
789,8591378,8503102:0,5.993270416909131,47.33504,8.54147,47.305794,8.591523
790,8591379,8591357,3.1642500453407822,47.380295,8.542781,47.338913,8.5381365
791,8591382,8591245,5.0510124080613386,47.410072,8.54623,47.35873,8.517089
792,8591382,Parent8503129,5.0909972887864985,47.410072,8.54623,47.412724,8.591928
793,8591383,8591261,7.842703046251748,47.41662,8.535486,47.359863,8.594523
794,8591384,8503000:0:7,0.9423221695993294,47.36787,8.535423,47.378178,8.540212
795,8591384,8591049,5.252092850952124,47.36787,8.535423,47.41709,8.568841
796,8591384,8591833,10.233561770807762,47.36787,8.535423,47.413166,8.448754
797,8591385,8503001:0:3,3.8131956774745377,47.35315,8.511322,47.391483,8.488963
798,8591389,8503200:0:1,4.649684138976235,47.378536,8.568006,47.32443,8.5480175
799,8591393,8591832,7.893298729981051,47.4019,8.5518,47.362698,8.617547
800,8591394,8590699,6.305702177107153,47.37097,8.564951,47.45126,8.581103
801,8591394,8590806,9.716613606889329,47.37097,8.564951,47.3805,8.651998
802,8591394,8594732,13.265557385869899,47.37097,8.564951,47.413494,8.449311
803,8591394,8595711,7.200817155198732,47.37097,8.564951,47.44682,8.525542
