,allstops.stop_id,allstops.stop_name,allstops.latitude,allstops.longitude,allstops.location_type,allstops.parent_station,center_dist
32111,8580458:0:C,"Winterthur, Gewerbeschule",47.49803,8.732757,,Parent8580458,19.715806584314343
32112,8580458:0:D,"Winterthur, Gewerbeschule",47.49803,8.732757,,Parent8580458,19.715806584314343
32113,8580458P,Gewerbeschule,47.49803,8.732757,1,,19.715806584314343
32114,8580459,"Winterthur, Hinterdorf Seen",47.48477,8.759158,,,20.32831655206101
32116,8580461,"Winterthur, Fotozentrum",47.495586,8.737078,,,19.775982189452957
32124,8580472,"Winterthur, Schmidgasse",47.500023,8.727295,,,19.567800227803847
32143,8580495,"Winterthur, Sennhof",47.466885,8.759643,,,19.26561383680476
32157,8580521,"Winterthur, Stadthaus",47.500553,8.730708,,,19.794599098843914
32158,8580522,"Zürich, Escher-Wyss-Platz",47.390797,8.522398,,,1.9423583971459935
32159,8580523,"Zell ZH, Dorf",47.447853,8.822911,,,22.679110518177804
32165,8580530,"Zell ZH, Mühliwies",47.443855,8.818833,,,22.24023897755378
32170,8580536,"Opfikon, Schulstrasse",47.43084,8.573719,,,6.383972278459912
32208,8580583,"Bülach, Gewerbehaus",47.518616,8.539224,,,15.633761744546021
32229,8580614,"Bülach, Stadthalle",47.515244,8.536555,,,15.260685139112255
32230,8580615,"Bülach, Tiefengasse",47.514824,8.533222,,,15.220539118355216
32231,8580617,"Bülach, Kaffeestrasse",47.511772,8.536214,,,14.87474401305917
32232,8580619,"Bachenbülach, Bramenländli",47.503525,8.538963,,,13.95397726139132
32233,8580620,"Bachenbülach, Bramenstrasse",47.50477,8.541218,,,14.092474657550541
32234,8580621,"Bülach, Kreuzstrasse",47.5188,8.5406065,,,15.654105418626159
32235,8580622,"Bülach, Bahnhof Ost",47.52422,8.538065,,,16.2582162354303
32236,8580623,"Bülach, Soliboden",47.526592,8.539035,,,16.52170554692642
32237,8580624,"Bülach, Soligänter",47.52823,8.542134,,,16.70445804941647
32238,8580625,"Bülach, Schuemacher",47.52911,8.544147,,,16.80442251211039
32239,8580626,"Bülach, Hohfuri",47.525513,8.544065,,,16.40395985475017
32240,8580628,"Bülach, Obere Frohalde",47.526436,8.549482,,,16.518959767944512
32241,8580629,"Bülach, Untere Frohalde",47.524086,8.552007,,,16.266908164123826
32242,8580630,"Bülach, Stubenchlaus",47.522293,8.5519705,,,16.06746322358994
32243,8580631,"Bülach, Witenwisen",47.52012,8.546491,,,15.808148539285037
32244,8580632,"Bülach, Moritz-Meyer-Weg",47.51505,8.544155,,,15.239554565003996
32246,8580634,"Mägenwil, Eckwil",47.41198,8.239698,,,22.961864681772177
32247,8580635,"Bülach, Berglistrasse",47.524143,8.546033,,,16.25481836062421
32248,8580636:0,"Bülach, Güterbahnhof",47.52333,8.537382,,,16.159739630660408
32249,8580636:0:G,"Bülach, Güterbahnhof",47.52333,8.537382,,,16.159739630660408
32250,8580637,"Mägenwil, Gemeindehaus",47.412052,8.235593,,,23.268471767827698
32251,8580638,"Baden, Stein",47.473885,8.30638,,,20.594862723562684
32252,8580639,"Ehrendingen, Breitwies",47.49077,8.338073,,,19.72884811354842
32301,8580691,"Buch am Irchel, Irchelhof",47.553547,8.619856,,,20.42482711391088
32324,8580722,Oerlingen,47.624046,8.676342,,,29.23093700307638
32326,8580724,"Horgen, Baumgärtlihof",47.259,8.599689,,,14.004296761118441
32327,8580725,"Dottikon, Chrischona",47.377975,8.236302,,,22.90744033194273
32328,8580727,"Wohlen AG, Reithalle",47.359505,8.269028,,,20.545932142575175
32329,8580728,"Widen, Burkertsmatt",47.36571,8.365237,,,13.261043951510938
32330,8580729,"Berikon, Kesslernmatt",47.36458,8.366082,,,13.211518689084217
32331,8580730,"Birmenstorf AG, Chrüz",47.457325,8.262758,,,22.693365417533126
32352,8580761,"Ellikon a. d. Thur, Dorf",47.56296,8.825247,,,29.746275506369738
32378,8580793,"Rikon im Tösstal, Bahnhof",47.445004,8.79765,,,20.78427954667043
